type;ator;qtd
Movie;Britt McKillip;8
Movie;Smita Malhotra;8
Movie;Shia LaBeouf;8
Movie;Smita Jaykar;8
Movie;J.K. Simmons;8
Movie;Daniel Padilla;8
Movie;Samy Maghawry;8
Movie;Mike Vogel;8
Movie;Bill Hader;8
Movie;Kate Winslet;8
Movie;Houko Kuwashima;8
Movie;Shabana Azmi;8
Movie;Crispin Glover;8
Movie;Jeff Garlin;8
Movie;Dustin Hoffman;8
Movie;Sola Sobowale;8
Movie;Kiron Kher;8
Movie;Vivica A. Fox;8
Movie;Al Pacino;8
Movie;Koichi Yamadera;8
Movie;Tabu;8
Movie;Prabhas;8
Movie;Melanie Lynskey;8
Movie;Clancy Brown;8
Movie;David Strathairn;8
Movie;Carlos Alazraqui;8
Movie;Jim Cummings;8
Movie;John Cusack;8
Movie;Salih Kalyon;8
Movie;Leonardo Sbaraglia;8
Movie;Madhavan;8
Movie;Jackson Rathbone;8
Movie;Bruce McGill;8
Movie;Lara Dutta;8
Movie;Arya Babbar;8
Movie;Mindy Sterling;8
Movie;Natalie Dormer;8
Movie;Jason Schwartzman;8
Movie;Kishore Kadam;8
Movie;Minako Kotobuki;8
Movie;Macon Blair;8
Movie;Nick Offerman;8
Movie;Nicole Oliver;8
Movie;Alfre Woodard;8
Movie;Mary Elizabeth Winstead;8
Movie;Rana Daggubati;8
Movie;Jeff Bridges;8
Movie;Vir Das;8
Movie;Robert Forster;8
Movie;Hugo Weaving;8
Movie;Michael Stuhlbarg;8
Movie;Kader Khan;8
Movie;Brian Drummond;8
Movie;Sam Rockwell;8
Movie;Bea Alonzo;8
Movie;Bill Burr;8
Movie;Prakash Raj;8
Movie;Femi Adebayo;8
Movie;Pran;8
Movie;Sheeba Chaddha;8
Movie;Tommy Lee Jones;8
Movie;Cameron Diaz;8
Movie;Nasser;8
Movie;James Remar;8
Movie;Ben Affleck;8
Movie;Madhuri Dixit;8
Movie;Cam Clarke;8
Movie;Alia Shawkat;8
Movie;Tannishtha Chatterjee;8
Movie;Common;8
Movie;Thomas Mann;8
Movie;Jennifer Coolidge;8
Movie;Rio Dewanto;8
Movie;Dimple Kapadia;8
Movie;Sarah Jessica Parker;8
Movie;Seann William Scott;8
Movie;Brad Pitt;8
Movie;Riley Keough;8
Movie;Farhan Akhtar;8
Movie;Urmila Matondkar;8
Movie;Gillian Jacobs;8
Movie;Arbaaz Khan;8
Movie;Himani Shivpuri;8
Movie;Ludacris;8
Movie;Rooney Mara;8
Movie;Vanessa Hudgens;8
Movie;Jason Isaacs;8
Movie;Gael García Bernal;8
Movie;Jessica Alba;8
Movie;Kristin Scott Thomas;8
Movie;Sacha Baron Cohen;8
Movie;Tom Hanks;8
Movie;Mark Wahlberg;8
Movie;Jesse Eisenberg;8
Movie;Keith Wickham;8
Movie;Michela Luci;8
Movie;Michelle Yeoh;8
Movie;Kellan Lutz;8
Movie;Kumud Mishra;8
Movie;Stellan Skarsgård;8
Movie;Yılmaz Erdoğan;8
Movie;James Cosmo;8
Movie;Iliza Shlesinger;8
Movie;James Cromwell;8
Movie;Zeenat Aman;8
Movie;Subodh Bhave;8
Movie;Rekha;8
Movie;Chadwick Boseman;8
Movie;Judy Greer;8
Movie;Lillete Dubey;8
Movie;Martin Short;8
Movie;Gary Cole;8
Movie;Anushka Shetty;8
Movie;Keegan-Michael Key;8
Movie;Uma Thurman;8
Movie;Zachary Quinto;8
Movie;Dee Bradley Baker;8
Movie;Riteish Deshmukh;8
Movie;Santosh Juvekar;8
Movie;Falz;8
Movie;Philip Baker Hall;8
Movie;Joe Pantoliano;8
Movie;Nirmal Rishi;8
Movie;Paul Rudd;8
Movie;Stephen Tobolowsky;8
Movie;Sabina Malik;8
Movie;Jay O. Sanders;8
Movie;Seth Green;8
Movie;Carmen Machi;8
Movie;Joseph Gordon-Levitt;8
Movie;Arjun Mathur;8
Movie;Neil Patrick Harris;8
Movie;Ciarán Hinds;8
Movie;Saurav Chakraborty;8
Movie;Kristen Bell;8
Movie;Andy Samberg;8
Movie;Bobby Deol;8
Movie;Imran Khan;8
Movie;Manoj Pahwa;8
Movie;Aditi Rao Hydari;8
Movie;Deepika Padukone;8
Movie;Satsuki Yukino;8
Movie;Ayo Makun;8
Movie;Ezzat Abou Aouf;8
Movie;Manav Vij;8
Movie;Satish Kaushik;8
Movie;Michael Gross;8
Movie;Patricia Clarkson;8
Movie;Emily Mortimer;7
Movie;John Mulaney;7
Movie;Toni Collette;7
Movie;Bernie Mac;7
Movie;Patton Oswalt;7
Movie;Akhilendra Mishra;7
Movie;Jon Favreau;7
Movie;Koji Tsujitani;7
Movie;Heather Graham;7
Movie;Lake Bell;7
Movie;Rachel McAdams;7
Movie;Yogi Babu;7
Movie;Mike Birbiglia;7
Movie;Jason Flemyng;7
Movie;Nse Ikpe-Etim;7
Movie;Emma Roberts;7
Movie;Ben Whishaw;7
Movie;Toby Huss;7
Movie;Michael Douglas;7
Movie;Billy Burke;7
Movie;Emilio Gutiérrez Caba;7
Movie;Mark Ruffalo;7
Movie;Billy Zane;7
Movie;Joe Don Baker;7
Movie;Octavia Spencer;7
Movie;Rose Byrne;7
Movie;Janeane Garofalo;7
Movie;Enyinna Nwigwe;7
Movie;Saeed Jaffrey;7
Movie;Johnathon Schaech;7
Movie;Noah Centineo;7
Movie;Tapsee Pannu;7
Movie;Avtar Gill;7
Movie;Bill Smitrovich;7
Movie;Sahajak Boonthanakit;7
Movie;Akshaye Khanna;7
Movie;Mae Whitman;7
