type;diretor;qtd
Movie;Scott Moran;2
Movie;Haifaa Al-Mansour;2
Movie;Hajime Kamegaki;2
Movie;Shirley Frimpong-Manso;2
Movie;Halitha Shameem;2
Movie;Hani Hamdi;2
Movie;Jerrold Tarog;2
Movie;Husam El-Gohari;2
Movie;Hsu Chih-yen;2
Movie;Sean Penn;2
Movie;J.D. Dillard;2
Movie;JP Habac;2
Movie;Jack C. Newell;2
Movie;Jacob Joice;2
Movie;Jacob Kornbluth;2
Movie;Jayan Moodley;2
Movie;Jalil Lespert;2
Movie;James Bobin;2
Movie;Will Gluck;2
Movie;James Mangold;2
Movie;James McTeigue;2
Movie;James Ponsoldt;2
Movie;James Toback;2
Movie;Sergio Leone;2
Movie;James Wong;2
Movie;James Yukich;2
Movie;William Wyler;2
Movie;Selçuk Aydemir;2
Movie;Janusz Majewski;2
Movie;Jared Hess;2
Movie;Jason Paul Laxamana;2
Movie;Jason Reitman;2
Movie;Javier Ruiz Caldera;2
Movie;Jayson Thiessen;2
Movie;J.C. Chandor;2
Movie;J.A. Bayona;2
Movie;Shashank Khaitan;2
Movie;Hugues Nancy;2
Movie;Jeremy Kenyon Lockyer Corbell;2
Movie;William Brent Bell;2
Movie;Hussein Kamal;2
Movie;Ian Cheney;2
Movie;Ian Edelman;2
Movie;Ian MacNaughton;2
Movie;Ibrahim Bin Mohamed;2
Movie;Ifa Isfansyah;2
Movie;Shashanka Ghosh;2
Movie;Isaac Ezban;2
Movie;Jeethu Joseph;2
Movie;Jehane Noujaim;2
Movie;Shalini Kantayya;2
Movie;Shakun Batra;2
Movie;Shakti Samanta;2
Movie;Jeffrey Walker;2
Movie;Jeff Wadlow;2
Movie;Ivan Ayr;2
Movie;Jeff Tremaine;2
Movie;Jeff Orlowski;2
Movie;Sekhar Kammula;2
Movie;Peter Sullivan;2
Movie;Gareth Evans;2
Movie;Sidheswar Shukla;2
Movie;David Dobkin;2
Movie;David Fairhead;2
Movie;Àlex Pastor;2
Movie;David Gordon Green;2
Movie;David M. Rosenthal;2
Movie;David O. Russell;2
Movie;David Pablos;2
Movie;David Pastor;2
Movie;David Paul Meyer;2
Movie;Sundar C.;2
Movie;David Sington;2
Movie;Sumit Das;2
Movie;Davis Guggenheim;2
Movie;Tanuja Chandra;2
Movie;Dee Rees;2
Movie;Delhiprasad Deenadayalan;2
Movie;Demetri Martin;2
Movie;Dennie Gordon;2
Movie;Sudesh Manjrekar;2
Movie;Derek Cianfrance;2
Movie;Zoe Berriatúa;2
Movie;Dharmesh Darshan;2
Movie;Zak Hilditch;2
Movie;Tarek Al Eryan;2
Movie;Dimitri Logothetis;2
Movie;Dino Risi;2
Movie;Dominic Sena;2
Movie;Don Bluth;2
Movie;David E. Talbert;2
Movie;Álex de la Iglesia;2
Movie;Tarsem Singh;2
Movie;Suparn Verma;2
Movie;Colin Trevorrow;2
Movie;T.J. Martin;2
Movie;Corey Yuen;2
Movie;Cosima Spender;2
Movie;Courtney Hunt;2
Movie;Sze Yu Lau;2
Movie;Cristi Puiu;2
Movie;Syrine Boulanouar;2
Movie;Dallas Jackson;2
Movie;Damien O’Connor;2
Movie;Sylvie Verheyde;2
Movie;Damián Romay;2
Movie;Dan Gilroy;2
Movie;Swapnaneel Jayakar;2
Movie;Daniel Alfredson;2
Movie;Daniel Benmayor;2
Movie;Daniel Calparsoro;2
Movie;Daniel Gray Longino;2
Movie;Daniel Lindsay;2
Movie;Daniel Mann;2
Movie;Daniel Oriahi;2
Movie;Daniel Stamm;2
Movie;Danny Boyle;2
Movie;Susannah Ward;2
Movie;Darren Lynn Bousman;2
Movie;Dave Higby;2
Movie;Susan Johnson;2
Movie;Zack Snyder;2
Movie;Duncan Jones;2
Movie;Gore Verbinski;2
Movie;Stanley Nelson;2
Movie;Fernando Meirelles;2
Movie;Fisher Stevens;2
Movie;Stanley Kubrick;2
Movie;Florian Henckel von Donnersmarck;2
Movie;Floyd Russ;2
Movie;Francesco Imperato;2
Movie;Stanisław Różewicz;2
Movie;Stan Lathan;2
Movie;Stacie Passon;2
Movie;Frank Rajah Arase;2
Movie;Sriram Raghavan;2
Movie;Funke Akindele;2
Movie;Sridhar Rangayan;2
Movie;Ted Emery;2
Movie;Spike Jonze;2
Movie;John Hillcoat;2
Movie;Gary Fleder;2
Movie;Smeep Kang;2
Movie;Gary Ross;2
Movie;George C. Wolfe;2
Movie;George Clooney;2
Movie;George Ford;2
Movie;Gianfranco Rosi;2
Movie;Simon Stone;2
Movie;Gillian Robespierre;2
Movie;Girish Malik;2
Movie;Simon J. Smith;2
Movie;Ted Demme;2
Movie;Femi Oyeniran;2
Movie;Steven Brill;2
Movie;Federico Veiroj;2
Movie;Eduardo Chauvet;2
Movie;Eduardo Roy Jr.;2
Movie;Edwin;2
Movie;Steve Paley;2
Movie;Ekene Som Mekwunye;2
Movie;Elaine McMillion Sheldon;2
Movie;Eli Craig;2
Movie;Eli Roth;2
Movie;Emmett Malloy;2
Movie;Steve Gukas;2
Movie;Eric Idle;2
Movie;Eric Radomski;2
Movie;Erik Canuel;2
Movie;Tarun Mansukhani;2
Movie;Errol Morris;2
Movie;Erwin van den Eshof;2
Movie;Esteban Crespo;2
Movie;Esteban Vidal;2
Movie;Everardo González;2
Movie;Stephen Herek;2
Movie;Stephen Frears;2
Movie;Fabien Beziat;2
Movie;Stephen Daldry;2
Movie;Stephen Chow;2
Movie;Stephen Chiodo;2
Movie;Federico Lemos;2
Movie;Stanley Tong;2
Movie;Wayne Blair;2
Movie;Joseph Sargent;2
Movie;Scott Aukerman;2
Movie;Renzil D'Silva;2
Movie;Michael Showalter;2
Movie;Tyler Spindel;2
Movie;Michael Winterbottom;2
Movie;Reema Kagti;2
Movie;Miguel Arteta;2
Movie;Mike Binder;2
Movie;Mike Birbiglia;2
Movie;Tyler Perry;2
Movie;Rebecca Zlotowski;2
Movie;Tsuyoshi Nakakuki;2
Movie;Tim Story;2
Movie;Randall Lobb;2
Movie;Randal Kleiser;2
Movie;Ramsey Nouah;2
Movie;Mikhil Musale;2
Movie;Mitch Schauer;2
Movie;Mohamed Diab;2
Movie;Mohit Suri;2
Movie;Morgan Spurlock;2
Movie;Muharrem Gülmez;2
Movie;Mukul Anand;2
Movie;Mysskin;2
Movie;Måns Mårlind;2
Movie;N. Linguswamy;2
Movie;Trivikram Srinivas;2
Movie;Nadia Hallgren;2
Movie;Trey Edward Shults;2
Movie;Michael Patrick King;2
